Steppingstone sampler:
        No Stones:                  100
        Start It:                   11000001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	5.958715	5.958715
1	0.950747	7500	5.867785	11.826500
2	0.926679	7500	5.778652	17.605151
3	0.902980	7500	5.690396	23.295547
4	0.879648	7500	5.599695	28.895242
5	0.856682	7500	5.507772	34.403015
6	0.834079	7500	5.425261	39.828276
7	0.811838	7500	5.334442	45.162718
8	0.789957	7500	5.247385	50.410103
9	0.768433	7500	5.164028	55.574131
10	0.747266	7500	5.074022	60.648154
11	0.726452	7500	4.991936	65.640090
12	0.705989	7500	4.904972	70.545063
13	0.685877	7500	4.820483	75.365546
14	0.666112	7500	4.733606	80.099152
15	0.646693	7500	4.654940	84.754092
16	0.627618	7500	4.567612	89.321704
17	0.608884	7500	4.487065	93.808769
18	0.590490	7500	4.402666	98.211435
19	0.572433	7500	4.324068	102.535504
20	0.554712	7500	4.240577	106.776080
21	0.537324	7500	4.158402	110.934482
22	0.520268	7500	4.079133	115.013615
23	0.503540	7500	3.994512	119.008127
24	0.487139	7500	3.919910	122.928037
25	0.471063	7500	3.840688	126.768725
26	0.455310	7500	3.760705	130.529430
27	0.439877	7500	3.685662	134.215092
28	0.424762	7500	3.605616	137.820708
29	0.409963	7500	3.528327	141.349035
30	0.395478	7500	3.450915	144.799950
31	0.381305	7500	3.379154	148.179104
32	0.367440	7500	3.298469	151.477574
33	0.353883	7500	3.229675	154.707248
34	0.340630	7500	3.152649	157.859897
35	0.327680	7500	3.076753	160.936650
36	0.315030	7500	3.003154	163.939804
37	0.302677	7500	2.930586	166.870390
38	0.290619	7500	2.862338	169.732727
39	0.278855	7500	2.788277	172.521005
40	0.267381	7500	2.713309	175.234314
41	0.256195	7500	2.648087	177.882401
42	0.245294	7500	2.577382	180.459782
43	0.234677	7500	2.501681	182.961463
44	0.224340	7500	2.440143	185.401606
45	0.214281	7500	2.363165	187.764771
46	0.204498	7500	2.299119	190.063890
47	0.194988	7500	2.232432	192.296321
48	0.185749	7500	2.160204	194.456525
49	0.176777	7500	2.100109	196.556635
50	0.168070	7500	2.031736	198.588371
51	0.159626	7500	1.967085	200.555456
52	0.151441	7500	1.902224	202.457679
53	0.143514	7500	1.832554	204.290233
54	0.135841	7500	1.767353	206.057586
55	0.128420	7500	1.701131	207.758717
56	0.121247	7500	1.642669	209.401386
57	0.114320	7500	1.575571	210.976957
58	0.107637	7500	1.503403	212.480360
59	0.101193	7500	1.448738	213.929098
60	0.094986	7500	1.383094	215.312192
61	0.089014	7500	1.321729	216.633922
62	0.083273	7500	1.230844	217.864766
63	0.077760	7500	1.197008	219.061774
64	0.072472	7500	1.106600	220.168375
65	0.067406	7500	0.996733	221.165108
66	0.062558	7500	0.945019	222.110127
67	0.057926	7500	0.858327	222.968454
68	0.053506	7500	0.766876	223.735331
69	0.049295	7500	0.619360	224.354691
70	0.045289	7500	0.496829	224.851519
71	0.041485	7500	0.341885	225.193404
72	0.037880	7500	0.335341	225.528745
73	0.034469	7500	-0.263876	225.264869
74	0.031250	7500	-0.316685	224.948184
75	0.028218	7500	-0.290147	224.658038
76	0.025370	7500	-0.450024	224.208014
77	0.022702	7500	-0.474093	223.733921
78	0.020209	7500	-0.484100	223.249820
79	0.017889	7500	-0.508999	222.740822
80	0.015736	7500	-0.521171	222.219651
81	0.013746	7500	-0.510549	221.709102
82	0.011916	7500	-0.507480	221.201622
83	0.010240	7500	-0.477976	220.723646
84	0.008714	7500	-0.443587	220.280059
85	0.007334	7500	-0.407175	219.872885
86	0.006093	7500	-0.366445	219.506440
87	0.004988	7500	-0.334928	219.171512
88	0.004013	7500	-0.300634	218.870878
89	0.003162	7500	-0.262072	218.608805
90	0.002430	7500	-0.228384	218.380421
91	0.001810	7500	-0.193768	218.186653
92	0.001296	7500	-0.163621	218.023033
93	0.000882	7500	-0.131221	217.891812
94	0.000559	7500	-0.102927	217.788885
95	0.000320	7500	-0.075752	217.713133
96	0.000156	7500	-0.051936	217.661197
97	0.000057	7500	-0.031894	217.629303
98	0.000010	7500	-0.014780	217.614523
99	0.000000	7500	-0.003157	217.611366
Log marginal likelihood:	217.611366
