Steppingstone sampler:
        No Stones:                  100
        Start It:                   11000001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	2.596254	2.596254
1	0.950747	7500	2.556505	5.152760
2	0.926679	7500	2.516811	7.669571
3	0.902980	7500	2.475680	10.145252
4	0.879648	7500	2.438023	12.583275
5	0.856682	7500	2.398261	14.981536
6	0.834079	7500	2.361331	17.342867
7	0.811838	7500	2.322908	19.665775
8	0.789957	7500	2.283150	21.948926
9	0.768433	7500	2.244788	24.193713
10	0.747266	7500	2.205050	26.398763
11	0.726452	7500	2.170027	28.568790
12	0.705989	7500	2.130252	30.699042
13	0.685877	7500	2.095321	32.794363
14	0.666112	7500	2.055396	34.849759
15	0.646693	7500	2.021721	36.871480
16	0.627618	7500	1.979968	38.851449
17	0.608884	7500	1.946357	40.797805
18	0.590490	7500	1.906006	42.703812
19	0.572433	7500	1.875332	44.579144
20	0.554712	7500	1.835855	46.414999
21	0.537324	7500	1.801936	48.216935
22	0.520268	7500	1.769946	49.986881
23	0.503540	7500	1.730280	51.717161
24	0.487139	7500	1.694414	53.411575
25	0.471063	7500	1.659188	55.070763
26	0.455310	7500	1.622072	56.692835
27	0.439877	7500	1.590425	58.283261
28	0.424762	7500	1.555574	59.838835
29	0.409963	7500	1.527192	61.366027
30	0.395478	7500	1.490569	62.856596
31	0.381305	7500	1.452375	64.308971
32	0.367440	7500	1.421677	65.730648
33	0.353883	7500	1.389518	67.120167
34	0.340630	7500	1.354517	68.474684
35	0.327680	7500	1.320706	69.795389
36	0.315030	7500	1.283512	71.078901
37	0.302677	7500	1.253531	72.332433
38	0.290619	7500	1.225791	73.558224
39	0.278855	7500	1.190112	74.748336
40	0.267381	7500	1.157246	75.905583
41	0.256195	7500	1.124032	77.029615
42	0.245294	7500	1.093125	78.122741
43	0.234677	7500	1.061972	79.184712
44	0.224340	7500	1.021139	80.205851
45	0.214281	7500	0.993597	81.199448
46	0.204498	7500	0.964764	82.164213
47	0.194988	7500	0.931349	83.095561
48	0.185749	7500	0.895316	83.990878
49	0.176777	7500	0.863737	84.854615
50	0.168070	7500	0.839165	85.693781
51	0.159626	7500	0.798682	86.492462
52	0.151441	7500	0.772972	87.265434
53	0.143514	7500	0.744998	88.010432
54	0.135841	7500	0.694290	88.704723
55	0.128420	7500	0.649253	89.353975
56	0.121247	7500	0.633167	89.987142
57	0.114320	7500	0.599038	90.586180
58	0.107637	7500	0.547487	91.133667
59	0.101193	7500	0.488583	91.622250
60	0.094986	7500	0.419538	92.041788
61	0.089014	7500	0.386951	92.428739
62	0.083273	7500	0.019934	92.448673
63	0.077760	7500	0.172516	92.621189
64	0.072472	7500	-0.078629	92.542560
65	0.067406	7500	-0.211435	92.331125
66	0.062558	7500	-0.296399	92.034726
67	0.057926	7500	-0.076493	91.958233
68	0.053506	7500	-0.305355	91.652878
69	0.049295	7500	-0.356518	91.296360
70	0.045289	7500	-0.331055	90.965305
71	0.041485	7500	-0.412446	90.552859
72	0.037880	7500	-0.421223	90.131636
73	0.034469	7500	-0.381529	89.750107
74	0.031250	7500	-0.380946	89.369161
75	0.028218	7500	-0.378437	88.990724
76	0.025370	7500	-0.348780	88.641944
77	0.022702	7500	-0.335863	88.306081
78	0.020209	7500	-0.314320	87.991761
79	0.017889	7500	-0.301776	87.689986
80	0.015736	7500	-0.286072	87.403913
81	0.013746	7500	-0.266127	87.137786
82	0.011916	7500	-0.243158	86.894628
83	0.010240	7500	-0.224407	86.670222
84	0.008714	7500	-0.207279	86.462943
85	0.007334	7500	-0.190504	86.272438
86	0.006093	7500	-0.170487	86.101952
87	0.004988	7500	-0.153219	85.948732
88	0.004013	7500	-0.136002	85.812730
89	0.003162	7500	-0.119240	85.693490
90	0.002430	7500	-0.103210	85.590280
91	0.001810	7500	-0.088917	85.501363
92	0.001296	7500	-0.072332	85.429030
93	0.000882	7500	-0.058250	85.370781
94	0.000559	7500	-0.045373	85.325408
95	0.000320	7500	-0.033704	85.291704
96	0.000156	7500	-0.023605	85.268100
97	0.000057	7500	-0.014200	85.253900
98	0.000010	7500	-0.006544	85.247356
99	0.000000	7500	-0.001406	85.245950
Log marginal likelihood:	85.245950
