Steppingstone sampler:
        No Stones:                  100
        Start It:                   11000001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	2.948346	2.948346
1	0.950747	7500	2.900545	5.848890
2	0.926679	7500	2.855505	8.704395
3	0.902980	7500	2.810709	11.515105
4	0.879648	7500	2.767139	14.282244
5	0.856682	7500	2.722510	17.004754
6	0.834079	7500	2.678555	19.683309
7	0.811838	7500	2.637538	22.320847
8	0.789957	7500	2.591902	24.912749
9	0.768433	7500	2.548679	27.461428
10	0.747266	7500	2.504743	29.966171
11	0.726452	7500	2.464156	32.430327
12	0.705989	7500	2.419954	34.850281
13	0.685877	7500	2.379036	37.229317
14	0.666112	7500	2.335463	39.564780
15	0.646693	7500	2.293296	41.858076
16	0.627618	7500	2.252531	44.110607
17	0.608884	7500	2.211010	46.321617
18	0.590490	7500	2.168579	48.490196
19	0.572433	7500	2.130724	50.620920
20	0.554712	7500	2.089209	52.710129
21	0.537324	7500	2.047137	54.757266
22	0.520268	7500	2.006591	56.763856
23	0.503540	7500	1.968304	58.732160
24	0.487139	7500	1.927413	60.659573
25	0.471063	7500	1.887860	62.547433
26	0.455310	7500	1.847637	64.395069
27	0.439877	7500	1.807863	66.202932
28	0.424762	7500	1.769419	67.972351
29	0.409963	7500	1.730623	69.702974
30	0.395478	7500	1.692485	71.395459
31	0.381305	7500	1.652817	73.048276
32	0.367440	7500	1.618325	74.666601
33	0.353883	7500	1.581217	76.247818
34	0.340630	7500	1.544089	77.791908
35	0.327680	7500	1.504760	79.296667
36	0.315030	7500	1.465634	80.762301
37	0.302677	7500	1.429165	82.191465
38	0.290619	7500	1.392770	83.584236
39	0.278855	7500	1.351405	84.935640
40	0.267381	7500	1.315578	86.251218
41	0.256195	7500	1.283233	87.534452
42	0.245294	7500	1.246737	88.781189
43	0.234677	7500	1.210720	89.991908
44	0.224340	7500	1.175946	91.167854
45	0.214281	7500	1.141298	92.309152
46	0.204498	7500	1.100551	93.409703
47	0.194988	7500	1.073382	94.483085
48	0.185749	7500	1.036505	95.519590
49	0.176777	7500	1.002250	96.521840
50	0.168070	7500	0.966433	97.488273
51	0.159626	7500	0.921214	98.409487
52	0.151441	7500	0.896797	99.306284
53	0.143514	7500	0.855822	100.162106
54	0.135841	7500	0.816190	100.978296
55	0.128420	7500	0.782164	101.760460
56	0.121247	7500	0.757253	102.517713
57	0.114320	7500	0.693454	103.211167
58	0.107637	7500	0.671418	103.882585
59	0.101193	7500	0.629070	104.511655
60	0.094986	7500	0.606006	105.117661
61	0.089014	7500	0.521552	105.639213
62	0.083273	7500	0.447513	106.086726
63	0.077760	7500	0.081567	106.168293
64	0.072472	7500	0.217316	106.385609
65	0.067406	7500	0.201799	106.587409
66	0.062558	7500	-0.151986	106.435423
67	0.057926	7500	-0.091361	106.344062
68	0.053506	7500	-0.267442	106.076620
69	0.049295	7500	-0.330794	105.745826
70	0.045289	7500	-0.417308	105.328519
71	0.041485	7500	-0.399320	104.929199
72	0.037880	7500	-0.387893	104.541306
73	0.034469	7500	-0.403657	104.137649
74	0.031250	7500	-0.400107	103.737541
75	0.028218	7500	-0.392544	103.344998
76	0.025370	7500	-0.379946	102.965052
77	0.022702	7500	-0.363097	102.601955
78	0.020209	7500	-0.341585	102.260369
79	0.017889	7500	-0.330751	101.929619
80	0.015736	7500	-0.309618	101.620001
81	0.013746	7500	-0.292222	101.327779
82	0.011916	7500	-0.266850	101.060929
83	0.010240	7500	-0.247903	100.813026
84	0.008714	7500	-0.230717	100.582308
85	0.007334	7500	-0.208352	100.373957
86	0.006093	7500	-0.190473	100.183483
87	0.004988	7500	-0.171254	100.012229
88	0.004013	7500	-0.148369	99.863861
89	0.003162	7500	-0.131365	99.732496
90	0.002430	7500	-0.113278	99.619218
91	0.001810	7500	-0.096771	99.522447
92	0.001296	7500	-0.079544	99.442903
93	0.000882	7500	-0.065011	99.377892
94	0.000559	7500	-0.050089	99.327804
95	0.000320	7500	-0.037411	99.290392
96	0.000156	7500	-0.025714	99.264678
97	0.000057	7500	-0.015426	99.249252
98	0.000010	7500	-0.007241	99.242011
99	0.000000	7500	-0.001559	99.240453
Log marginal likelihood:	99.240453
