Steppingstone sampler:
        No Stones:                  100
        Start It:                   11000001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	1.714047	1.714047
1	0.950747	7500	1.687456	3.401503
2	0.926679	7500	1.660148	5.061651
3	0.902980	7500	1.636319	6.697970
4	0.879648	7500	1.609605	8.307576
5	0.856682	7500	1.583481	9.891057
6	0.834079	7500	1.558479	11.449536
7	0.811838	7500	1.532957	12.982493
8	0.789957	7500	1.508142	14.490635
9	0.768433	7500	1.483526	15.974160
10	0.747266	7500	1.457678	17.431839
11	0.726452	7500	1.433502	18.865341
12	0.705989	7500	1.409442	20.274783
13	0.685877	7500	1.384941	21.659724
14	0.666112	7500	1.359313	23.019038
15	0.646693	7500	1.334707	24.353745
16	0.627618	7500	1.310905	25.664650
17	0.608884	7500	1.287873	26.952522
18	0.590490	7500	1.262629	28.215151
19	0.572433	7500	1.240014	29.455165
20	0.554712	7500	1.216240	30.671406
21	0.537324	7500	1.193142	31.864548
22	0.520268	7500	1.168200	33.032748
23	0.503540	7500	1.145340	34.178088
24	0.487139	7500	1.121138	35.299226
25	0.471063	7500	1.100518	36.399744
26	0.455310	7500	1.078016	37.477760
27	0.439877	7500	1.055121	38.532881
28	0.424762	7500	1.031497	39.564378
29	0.409963	7500	1.008962	40.573340
30	0.395478	7500	0.986971	41.560311
31	0.381305	7500	0.964714	42.525025
32	0.367440	7500	0.942839	43.467864
33	0.353883	7500	0.922529	44.390394
34	0.340630	7500	0.900378	45.290772
35	0.327680	7500	0.877451	46.168223
36	0.315030	7500	0.856933	47.025156
37	0.302677	7500	0.835454	47.860611
38	0.290619	7500	0.814294	48.674905
39	0.278855	7500	0.794395	49.469300
40	0.267381	7500	0.772652	50.241952
41	0.256195	7500	0.752932	50.994885
42	0.245294	7500	0.732617	51.727501
43	0.234677	7500	0.710881	52.438383
44	0.224340	7500	0.691236	53.129618
45	0.214281	7500	0.671645	53.801263
46	0.204498	7500	0.651775	54.453038
47	0.194988	7500	0.631290	55.084328
48	0.185749	7500	0.609664	55.693991
49	0.176777	7500	0.591309	56.285300
50	0.168070	7500	0.572311	56.857611
51	0.159626	7500	0.554278	57.411889
52	0.151441	7500	0.532166	57.944055
53	0.143514	7500	0.511043	58.455098
54	0.135841	7500	0.488220	58.943318
55	0.128420	7500	0.472348	59.415666
56	0.121247	7500	0.451457	59.867123
57	0.114320	7500	0.439441	60.306564
58	0.107637	7500	0.414799	60.721362
59	0.101193	7500	0.398752	61.120114
60	0.094986	7500	0.370536	61.490650
61	0.089014	7500	0.355068	61.845718
62	0.083273	7500	0.324364	62.170082
63	0.077760	7500	0.317811	62.487893
64	0.072472	7500	0.288392	62.776285
65	0.067406	7500	0.269143	63.045428
66	0.062558	7500	0.247287	63.292715
67	0.057926	7500	0.209739	63.502454
68	0.053506	7500	0.157222	63.659676
69	0.049295	7500	0.150880	63.810556
70	0.045289	7500	0.007401	63.817957
71	0.041485	7500	-0.050608	63.767349
72	0.037880	7500	0.055788	63.823138
73	0.034469	7500	-0.107679	63.715458
74	0.031250	7500	-0.140799	63.574660
75	0.028218	7500	-0.192100	63.382560
76	0.025370	7500	-0.256849	63.125711
77	0.022702	7500	-0.264499	62.861212
78	0.020209	7500	-0.280954	62.580258
79	0.017889	7500	-0.281177	62.299081
80	0.015736	7500	-0.274511	62.024570
81	0.013746	7500	-0.265183	61.759386
82	0.011916	7500	-0.249613	61.509773
83	0.010240	7500	-0.240410	61.269363
84	0.008714	7500	-0.223505	61.045857
85	0.007334	7500	-0.204510	60.841348
86	0.006093	7500	-0.188087	60.653261
87	0.004988	7500	-0.172492	60.480769
88	0.004013	7500	-0.151668	60.329101
89	0.003162	7500	-0.132585	60.196516
90	0.002430	7500	-0.115736	60.080780
91	0.001810	7500	-0.098030	59.982751
92	0.001296	7500	-0.081842	59.900908
93	0.000882	7500	-0.066107	59.834801
94	0.000559	7500	-0.051559	59.783242
95	0.000320	7500	-0.038123	59.745119
96	0.000156	7500	-0.026375	59.718744
97	0.000057	7500	-0.015914	59.702830
98	0.000010	7500	-0.007481	59.695348
99	0.000000	7500	-0.001612	59.693736
Log marginal likelihood:	59.693736
