Steppingstone sampler:
        No Stones:                  100
        Start It:                   11000001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	2.950859	2.950859
1	0.950747	7500	2.906155	5.857013
2	0.926679	7500	2.861707	8.718720
3	0.902980	7500	2.817444	11.536164
4	0.879648	7500	2.773241	14.309405
5	0.856682	7500	2.729864	17.039269
6	0.834079	7500	2.685946	19.725215
7	0.811838	7500	2.642953	22.368169
8	0.789957	7500	2.599487	24.967656
9	0.768433	7500	2.557267	27.524923
10	0.747266	7500	2.513534	30.038457
11	0.726452	7500	2.471847	32.510304
12	0.705989	7500	2.429180	34.939484
13	0.685877	7500	2.386979	37.326463
14	0.666112	7500	2.346601	39.673064
15	0.646693	7500	2.304963	41.978027
16	0.627618	7500	2.262539	44.240566
17	0.608884	7500	2.221756	46.462322
18	0.590490	7500	2.180184	48.642506
19	0.572433	7500	2.140688	50.783195
20	0.554712	7500	2.098859	52.882053
21	0.537324	7500	2.059173	54.941226
22	0.520268	7500	2.019797	56.961023
23	0.503540	7500	1.980693	58.941716
24	0.487139	7500	1.940754	60.882470
25	0.471063	7500	1.902104	62.784574
26	0.455310	7500	1.863148	64.647722
27	0.439877	7500	1.825471	66.473193
28	0.424762	7500	1.786142	68.259335
29	0.409963	7500	1.748804	70.008139
30	0.395478	7500	1.709848	71.717987
31	0.381305	7500	1.672864	73.390851
32	0.367440	7500	1.633990	75.024841
33	0.353883	7500	1.597235	76.622076
34	0.340630	7500	1.561722	78.183798
35	0.327680	7500	1.523794	79.707592
36	0.315030	7500	1.487438	81.195030
37	0.302677	7500	1.450869	82.645898
38	0.290619	7500	1.416082	84.061980
39	0.278855	7500	1.380539	85.442519
40	0.267381	7500	1.344619	86.787139
41	0.256195	7500	1.309442	88.096581
42	0.245294	7500	1.274497	89.371078
43	0.234677	7500	1.239250	90.610328
44	0.224340	7500	1.205645	91.815973
45	0.214281	7500	1.173675	92.989648
46	0.204498	7500	1.138893	94.128542
47	0.194988	7500	1.106286	95.234827
48	0.185749	7500	1.073061	96.307888
49	0.176777	7500	1.039562	97.347450
50	0.168070	7500	1.005441	98.352891
51	0.159626	7500	0.974968	99.327859
52	0.151441	7500	0.939621	100.267479
53	0.143514	7500	0.906862	101.174342
54	0.135841	7500	0.876044	102.050386
55	0.128420	7500	0.844471	102.894856
56	0.121247	7500	0.812163	103.707020
57	0.114320	7500	0.779465	104.486485
58	0.107637	7500	0.751004	105.237489
59	0.101193	7500	0.712264	105.949753
60	0.094986	7500	0.687595	106.637348
61	0.089014	7500	0.626735	107.264082
62	0.083273	7500	0.620439	107.884521
63	0.077760	7500	0.591982	108.476503
64	0.072472	7500	0.540379	109.016882
65	0.067406	7500	0.524163	109.541045
66	0.062558	7500	0.473632	110.014677
67	0.057926	7500	0.450103	110.464780
68	0.053506	7500	0.403053	110.867833
69	0.049295	7500	0.361243	111.229076
70	0.045289	7500	0.323776	111.552852
71	0.041485	7500	0.216910	111.769762
72	0.037880	7500	0.197323	111.967086
73	0.034469	7500	0.134903	112.101989
74	0.031250	7500	0.014802	112.116790
75	0.028218	7500	0.016541	112.133331
76	0.025370	7500	-0.040648	112.092683
77	0.022702	7500	-0.107627	111.985056
78	0.020209	7500	-0.062779	111.922276
79	0.017889	7500	-0.105317	111.816960
80	0.015736	7500	-0.129634	111.687326
81	0.013746	7500	-0.136289	111.551037
82	0.011916	7500	-0.127225	111.423813
83	0.010240	7500	-0.116824	111.306989
84	0.008714	7500	-0.115577	111.191412
85	0.007334	7500	-0.105011	111.086401
86	0.006093	7500	-0.096298	110.990103
87	0.004988	7500	-0.090135	110.899968
88	0.004013	7500	-0.079052	110.820916
89	0.003162	7500	-0.070973	110.749944
90	0.002430	7500	-0.061706	110.688238
91	0.001810	7500	-0.052007	110.636231
92	0.001296	7500	-0.044463	110.591768
93	0.000882	7500	-0.035145	110.556623
94	0.000559	7500	-0.027658	110.528964
95	0.000320	7500	-0.020684	110.508280
96	0.000156	7500	-0.014401	110.493879
97	0.000057	7500	-0.008519	110.485360
98	0.000010	7500	-0.004037	110.481323
99	0.000000	7500	-0.000858	110.480465
Log marginal likelihood:	110.480465
